id,neuron_type,neurotransmitter,role,region,x,y,z
217073,R8p,HIST,sensory,brain,697216.0,138256.0,194336.0
218895,Dm2,ACH,inter,brain,648320.0,130208.0,297584.0
225466,DNg02_c,ACH,motor-related,LB,352176.0,366224.0,282800.0
434494,R8d,HIST,sensory,brain,649584.0,131952.0,139696.0
515278,MeVPMe12,ACH,inter,brain,364144.0,180352.0,293440.0
516915,Mi1,ACH,inter,brain,597520.0,295312.0,167184.0
517159,Tm5b,ACH,inter,brain,608920.0,289240.0,170392.0
521632,Tm5c,GLUT,inter,brain,603712.0,293328.0,167776.0
525221,Lawf1,ACH,inter,brain,600912.0,281520.0,171824.0
531688,Cm8,GABA,inter,brain,615808.0,107440.0,230000.0
532354,MeLo1,ACH,inter,brain,601048.0,144736.0,203848.0
532355,Tm20,ACH,inter,brain,622856.0,112824.0,219960.0
532671,Mi1,ACH,inter,brain,608792.0,94424.0,221944.0
535248,Dm2,ACH,inter,brain,608144.0,281536.0,173512.0
535597,Tm5c,GLUT,inter,brain,625504.0,102512.0,241200.0
535628,Tm5c,GLUT,inter,brain,636752.0,122464.0,216704.0
537429,Mi4,GABA,inter,brain,599968.0,94680.0,211200.0
538013,Dm8b,GLUT,inter,brain,183504.0,260848.0,168304.0
539612,Mi4,GABA,inter,brain,600272.0,291840.0,164992.0
542692,Tm3,ACH,inter,brain,612912.0,99792.0,249008.0
543156,Tm5c,GLUT,inter,brain,623640.0,100472.0,229760.0
544125,Dm4,GLUT,inter,brain,599344.0,119344.0,218496.0
546132,Tm5c,GLUT,inter,brain,602400.0,113056.0,229456.0
546552,MeLo1,ACH,inter,brain,563328.0,277744.0,186704.0
547452,Tm6,ACH,inter,brain,614736.0,101920.0,229616.0
548922,Tm1,ACH,inter,brain,656528.0,141528.0,305800.0
549570,R8y,HIST,sensory,brain,630208.0,295744.0,187040.0
550408,Mi15,ACH,inter,brain,599576.0,111104.0,234416.0
550760,Dm11,GLUT,inter,brain,605128.0,96088.0,207792.0
551254,R1-R6,HIST,sensory,brain,31424.0,206920.0,256432.0
551827,Tm20,ACH,inter,brain,612456.0,101568.0,224760.0
553513,R8y,HIST,sensory,brain,690304.0,140240.0,185264.0
570389,L1,GLUT,inter,brain,732128.0,169312.0,250128.0
573573,Tm20,ACH,inter,brain,582832.0,292528.0,174976.0
574779,R8d,HIST,sensory,brain,643024.0,128064.0,146288.0
800014,IN17B003,GABA,inter,A3,460704.0,367896.0,991536.0
800190,MNwm35,unclear,motor-related,T2,317288.0,492136.0,858680.0
800381,i2 MN,GLUT,motor-related,T2,500408.0,479640.0,680016.0
801143,IN05B001,GABA,inter,T2,449664.0,489456.0,832176.0
801577,IN17B003,GABA,inter,A3,384432.0,333800.0,959104.0
801743,IN09A017,GABA,inter,T3,495344.0,425408.0,904848.0
801943,IN00A007,GABA,inter,T3,403776.0,464792.0,1005512.0
801984,IN09A019,GABA,inter,A1,448920.0,372312.0,934536.0
802425,IN00A038,GABA,inter,T1,371328.0,514224.0,667392.0
802444,IN12B069,GABA,inter,T1,452528.0,507128.0,663904.0
803126,IN17A034,ACH,inter,T2,506448.0,379456.0,675184.0
803277,IN09A020,GABA,inter,T3,489632.0,414120.0,892984.0
803420,IN00A012,GABA,inter,T2,397808.0,528320.0,774032.0
803564,IN00A008,GABA,inter,A1,411344.0,439904.0,1039552.0
803702,IN17A099,ACH,inter,T2,497264.0,404976.0,674960.0
803829,Tr flexor MN,GLUT,motor-related,T2,489232.0,521056.0,748096.0
804185,IN00A038,GABA,inter,T1,374784.0,515152.0,653472.0
804631,IN08B051_d,ACH,inter,T2,459520.0,494048.0,695232.0
804978,IN00A036,GABA,inter,T2,391144.0,527728.0,745616.0
805170,IN17A090,ACH,inter,T2,502928.0,378608.0,683632.0
805620,IN09A020,GABA,inter,T1,444704.0,442128.0,524224.0
805752,IN09A023,GABA,inter,A1,462872.0,374008.0,923544.0
805849,IN08B085_a,ACH,inter,T2,460352.0,499104.0,684400.0
805863,IN00A049,GABA,inter,T2,379368.0,525840.0,717952.0
805963,IN08B085_a,ACH,inter,T2,481856.0,476864.0,699376.0
805966,IN08B068,ACH,inter,T2,464296.0,499312.0,675000.0
806001,IN23B006,ACH,inter,T3,458216.0,372000.0,901224.0
806128,"IN21A029,IN21A030",GLUT,inter,T2,323072.0,528312.0,818568.0
806187,IN09A019,GABA,inter,A1,350768.0,360688.0,909456.0
806465,IN17A099,ACH,inter,T2,496320.0,417784.0,672384.0
807245,IN17A078,ACH,inter,T2,505360.0,377192.0,680120.0
807314,IN09A022,GABA,inter,T2,479080.0,466336.0,695448.0
807518,IN08B051_e,ACH,inter,T2,469432.0,493536.0,670704.0
807581,IN09A019,GABA,inter,A1,469120.0,371080.0,934904.0
807668,IN00A052,GABA,inter,T2,384648.0,525744.0,720840.0
807678,IN08B085_a,ACH,inter,T2,487168.0,487408.0,671712.0
808085,IN08B085_a,ACH,inter,T2,320312.0,482272.0,688536.0
809034,IN05B088,GABA,inter,T2,416816.0,531424.0,746744.0
809037,IN06B078,GABA,inter,T1,423552.0,509168.0,658624.0
809503,IN09A017,GABA,inter,T1,439536.0,444856.0,533336.0
810000,IN17A116,ACH,inter,T2,499120.0,378048.0,706800.0
810029,IN05B089,GABA,inter,T2,369704.0,525600.0,726816.0
810081,IN09A019,GABA,inter,A1,351656.0,358136.0,942928.0
811137,MNhl87,unclear,motor-related,T3,426432.0,433952.0,1005856.0
812267,IN10B052,ACH,inter,T3,412032.0,479600.0,890064.0
812693,"IN17A109,IN17A120",ACH,inter,T2,495840.0,402160.0,678912.0
813858,"IN21A029,IN21A030",GLUT,inter,T2,480784.0,513472.0,865344.0
815910,IN05B089,GABA,inter,T2,372880.0,528848.0,738464.0
816764,SNpp42,ACH,sensory,VNC,454912.0,468448.0,1049184.0
817729,IN05B092,GABA,inter,T2,377520.0,524864.0,731744.0
818343,IN09A073,GABA,inter,T1,453760.0,433400.0,525568.0
852881,vnc_motor,unclear,motor-related,T3,331128.0,447976.0,1020384.0
907684,IN00A060,GABA,inter,T1,377720.0,507976.0,662688.0
907888,IN09A017,GABA,inter,T2,495976.0,443752.0,705736.0
908365,IN00A069,GABA,inter,T3,403184.0,453104.0,1007408.0
908816,SNpp42,ACH,sensory,VNC,458072.0,465536.0,1044536.0
909325,IN17A095,ACH,inter,T2,502320.0,408048.0,666128.0
909760,IN17A048,ACH,inter,T2,506816.0,402816.0,665792.0
911199,IN00A065,GABA,inter,T1,359824.0,512936.0,671600.0
926416,R8p,HIST,sensory,brain,693648.0,146880.0,183104.0
1059707690,Acc. ti flexor MN,GLUT,motor-related,T3,318584.0,450304.0,984232.0
