id,neuron_type,neurotransmitter,role,region,x,y,z
720575940645047831,unknown,ACH,motor-related,GNG,473440.0,332796.0,190160.0
720575940645352814,unknown,GLUT,motor-related,GNG,434716.0,323120.0,97880.0
720575940645497140,unknown,GABA,inter,SAD,375196.0,296976.0,130680.0
720575940646576436,ALLN,SER,inter,AL,592544.0,242720.0,43560.0
720575940647029044,unknown,GLUT,motor-related,GNG,551616.0,368800.0,159800.0
720575940647228468,unknown,ACH,motor-related,GNG,500220.0,325164.0,223040.0
720575940647755641,unknown,unknown,motor-related,IPS.GNG,425512.0,319852.0,170040.0
720575940648191876,unknown,GABA,inter,GNG,600480.0,355744.0,77920.0
720575940649809273,unknown,GABA,motor-related,GNG.SAD,562528.0,359156.0,193920.0
720575940651593974,unknown,GABA,inter,AMMC,373372.0,295044.0,127280.0
720575940654490785,unknown,GABA,inter,WED,654224.0,323624.0,108600.0
720575940659760769,unknown,GABA,inter,LH,715916.0,185088.0,110680.0
720575940659860609,unknown,ACH,inter,GNG,437152.0,318176.0,95520.0
720575940660224641,unknown,GABA,inter,GNG,475624.0,354356.0,107800.0
720575940660314241,unknown,GABA,inter,WED.AMMC,408812.0,291204.0,128240.0
720575940661335681,unknown,GABA,inter,GNG,495360.0,365888.0,172240.0
720575940661338497,brain_motor_neuron,unknown,motor-related,GNG,595328.0,314912.0,33040.0
720575940661339777,visual,unknown,sensory,NO_CONS,862404.0,221528.0,146160.0
